2603	520 220 4 2 817
2604	832 390 803 2 861
2605	740 344 32 545
2606	688 0 740 100 240 233 2 861
2607	156 3 60 368 817
2608	527 555 240 2 617 70
2609	740 222 2 207 550 390
2610	390 18 796
2611	740 765 240 1 368 920
2612	520 233 741 81 272
2613	520 33 705 231 2 820 700
2614	400 890 104
2615	527 388 233
2616	740 794 734 32 235
2617	740 840 13 31 2 817
2618	740 100 798 220 32 2 861 255 416
2619	740 798 460 350 2 814 84
2620	156 3 240 741 345
2621	740 390 590 220 3
2622	390 3 2 111 165
2623	156 4
2624	156 435 255
2625	740 585 17 900
2626	740 215 2 368 119
2627	90 740 255 705 2 861
2628	390 503 740 168 2 817
2629	154 3 900 545
2630	390 4 2 820
2631	90 740 220 235 853
2634	740 565 233 2 940 260
2635	413 820 220 65 798 550 820
2636	740 879 220 415 2 287 140
2638	740 920 320 233 1 821
2639	740 760 220 16 382 741 572 684
2640	740 32 840 741 60 920
2641	740 760 440 2 297 416
2642	390 844 140 176 803 2 301 190
2643	740 100 176 840 13 2 817
2644	520 33 705 220 803 55 2 820
2645	740 772 33 705 233 803 2 861
2646	151 337 484 2 390 125 632 32 900 563
2647	858 0 740 100 585 741 840 346
2648	740 900 790 233 798
2649	520 33 705
2650	400 93 368 72
2651	740 923 220 32
2653	520 552 60 692
2654	565 740 220 741 176
2655	740 923 803 741 500 705
2656	520 233 240 235 741 360
2657	740 94 220 32 2 144
2658	740 390 590 741 390 790
2659	156 3 545
2660	527 550 240 220 255 812 906 388
2661	872 32 692
2662	520 33 705 31
2663	90 740 220 16 31 908 545
2665	740 900 5
2666	33 832 236 741 361
2667	740 336 2 220 65 440 455
2669	136 140 2 861
2670	740 205 32 2 252 840
2671	740 100 415 240 2 817
2672	740 400 142 880
2673	740 255 920 60 692
2674	226 803 2 220 455 520
2675	740 817 556
2676	740 760 440 60 550
2677	740 832
2678	220 65 864
2679	740 772 2 861
2680	269 130 190
2681	621 0 520 220 415 2 257 898
2682	740 176 31
2683	740 900 790 233 798 1 820
2684	390 16 60 550
2685	740 48 741 250 579
2686	151 243 31 2 820 741
2687	617 122 3
2688	740 760 840 552 3
2689	520 220 415 60 820
2690	740 142 61 2 817
2691	390 844 240 806 2 861
2695	740 923 406 61 70 32 741 861
2696	407 61 740 923 233 806 60 692
2697	405 18 1 220 786 850
2698	740 388 900 320 806
2699	740 923 220 32 2 820
2701	740 690
2702	390 3 2 803
2704	390 16
2705	390 3
2706	740 621
2707	520 175 2 295 502
2708	520 233 60 297
2709	90 740 101 853
2710	520 220
2711	520 240
2712	156 5
2713	156 31
2714	436 740 176
2715	156 843
2716	90 125
2717	700 521 702
2718	156 5
2719	90 740 900 5
2720	298 350 590 32 900 853
2721	861 495 368 836 741
2722	161 97
2723	740 760 840 552 2 817
2724	90 740 100 415 240 2 861
2725	740 222 2 820
2726	151 61
2727	400 241 31 60 820
2728	740 390 590 741 81 220
2729	740 61 2 817
2730	832 904 1 820
2731	892 831
2732	520 240
2733	151 740 231
2734	368 861 903
2735	90 740 100 220 2 31 165
2736	413 33 0 740 388
2737	740 384 2 390 346
2738	400 267 820
2739	151 33
2740	151 717
2741	740 877 32 233
2742	400 220 428
2743	527 456
2745	740 760 335 220 32 2 820
2746	244 277 255
2747	740 705
2748	405 5
2749	241 2 880
2750	740 368 278 61
2752	740 636 240
2753	156 31
2754	90 740 176 233
2755	400 740 100 415
2756	236 2 390 707
2757	842 535 99 4 0 740 483 60 692 520 220 235 1 920
2759	520 33 706 240 233 803
2761	740 803 233
2762	740 760 921 235 2 112
2763	520 240 220 32 2 861 603
2764	90 740 32 840 741 572 683
2765	740 721 2 301 350
2766	892 590 894 140 545
2768	740 760 70 921 460 503 2 817
2769	740 503 235 233 2 817
2770	390 17 741 60 920
2771	740 100 415 2 705 590
2772	140 165 740 176 220 803
2773	804 233 231
2774	390 3 2 125 350
2775	400 150 617 55 1 150 243
2776	527 550 803 2 368 518
2777	435 255 390 5
2778	740 879 233
2779	930 0 804 220 60 550
2780	600 740 60 920
2781	384 575 0 892 706 717 2 861
2782	520 231 2 817
2783	90 740 220 14 2 820
2784	740 61 1 694
2786	90 740 400 350 31 545
2787	740 519
2788	90 740 35 171 61
2789	565 740 798 235 233 1 2 269 632
2790	740 630 155 2 679
2791	215 1 480 90 820
2792	740 615 495
2793	2 818
2795	740 760 264 231 742 315 32
2796	90 740 760 717 853
2797	520 33 705 176
2799	621 390 4 2 817
2801	740 482 240 2 944 920 140
2802	740 460 510 250 853
2803	156 142 368 817
2804	390 18
2806	504 350 240 2 861
2807	740 255 705
2808	820 0 90 740 176 741 65 123
2809	740 176 240 2 817
2810	400 345 279
2811	740 890 692
2812	390 3 60 920
2813	151 416 741 849
2814	740 220 3
2815	621 0 90 740 2 861
2816	621 520 220 60 880
2817	90 740 240 575 703 60
2819	740 390 590 1 0 60 820
2820	740 176
2821	520 231 235
2822	520 33 705 60 820
2823	90 740 220 742 534 550 90
2825	621 740 798 838 741 92 850
2826	740 904 32 60 550
2827	520 220 2 727 317
2828	224 740 61 2 824
2829	621 0 740 482 1 550
2830	401 2 368 165
2832	953 817 390 125 308 809 33 0 740 760 706 466 0 520 231 240 235 2 820
2833	390 34 2 374 228 741
2834	367 390 710 2 861
2835	255 60 692 401 920
2836	31 575
2837	740 812 33 240 220 32
2838	740 176 741 390 125
2839	617 831
2840	740 61 60 820
2841	520 220 415 235
2842	740 215
2843	241 803 2 850 491
2844	740 904 235 741 60 920
2845	740 519 2 861
2846	157 142
2847	2 861 698
2848	156 176
2850	740 729 407 845 236 2 906 125
2851	740 877 32 33 705 231 235 2 861 360 520 919 140
2852	400 595 420 125 32 820 920 140
2853	740 100 806 472 240 806 1 820
2854	3 1 520 240 806 2 502 31
2855	740 405 590 220 235 803 2 388 385 705 632
2856	90 740 717 770 235
2857	820 64 104
2858	740 7 503 2 817
2859	740 100 415 745 60 920
2860	740 354 2 817
2861	527 550 33 705 220 415 60 550
2862	423 3 263 104 745 55
2865	740 690 435 255 240 220 415 806 742 60 920
2866	832 904 740 444 388 233 798 806
2867	617 142 384 32 154 806 467
2868	740 338 605 176 1 820
2870	740 900 3 615 503
2871	740 100 233 220 32 2 820
2872	740 100 176 2 861 533 717
2873	740 690 435 255 240 235
2874	407 5 1 746 740 590
2875	154 798 460 353
2876	137 3 1 740 920 322
2877	740 55 220 32 798 2 820
2878	617 142
2879	617 145
2880	740 900 3 803 2 820
2881	407 4 2 820
2882	405 4 1 137
2883	226 32 798 742 60 920
2884	740 519
2885	740 861 383 31
2886	250 605 626 60 820
2887	405 845 686 740 793 3 233 805 2 861 533 717
2888	740 405 590 220 32 806
2889	679 740 575 17 240 806 2 540
2890	740 752 1 33 706
2891	520 220 415 798
2892	204 630 233 832 904 794 630 235 60 550
2893	740 752 55 233
2894	740 920 323
2895	740 55 33 706 235
2896	617 142 1 2 820
2897	617 550 3
2898	494 615 179 100 1 33 426
2899	407 63 520 95
2900	405 5
2901	740 923 240 235 806
2903	740 923 235 742 380
2904	407 61 2 817
2905	45 740 806
2907	390 840 233 240 744 33 272
2908	31 625 140 220 415
2911	256 832
2912	324 255 1 405 16
2914	405 4 747
2918	740 792
2921	740 100 415 741 60 920
2923	156 3
2925	740 390 590 33 705
2926	740 390 590 33 705
2929	740 390 590 2 820
2930	740 100
2931	740 176 235
2934	167 706
2938	740 32 840 220 2 861
2940	740 690 435 255
2942	621 740 514
2944	740 630
2945	740 630
2946	740 630
2948	740 630
2949	90 740 240 235 590 645 104
2950	90 740 240 235 590 645 104
2951	90 740 240 235 590 645 104
2952	90 740 240 235 590 645 104
2953	400 740 220 415 798
2954	400 740 220 415 798
2956	740 100 415 191 2 817
2957	400 740 405 590 235 806
2958	740 100 220
2960	617 142
2962	400 97 700 4
2963	400 97 700 4
2964	400 97 700 4
2965	103 740 803 60 540
2966	400 740 803
2971	617 55 435 255 400 136 140
2972	850 140 803 2 840 16
2973	850 140 803 2 840 16
2975	390 697 151 740 176 798 838
2976	740 100 415 904 17 32 820 740 904 741
2978	740 690 60 550
2980	740 176 233 806
2981	740 384 233 806
2983	407 845 220 415
2984	407 845 220 415
2985	165 900 790
2986	165 900 790
2987	740 176 220 32
2988	740 176 220 32
2989	706 5
2990	706 5
2991	706 5
2992	341
2993	341
2994	617 142 1 595 95 760 744
2995	617 142 1 595 95 760 744
2997	595 343 615
2998	407 71 32
2999	407 71 32
3000	423 3 1 900 740 690 435 255
3001	1 740 923 33 706
3002	1 740 923 33 706
3003	1 740 923 33 706
3004	1 740 923 33 706
3006	407 321 407 845 33 705 235
3007	407 321 407 845 33 705 235
3008	407 321 407 845 33 705 235
3009	407 321 407 845 33 705 235
3010	407 321 407 845 33 705 235
3011	407 321 407 845 33 705 235
3013	407 321 407 845 33 705 235
3014	407 321 407 845 33 705 235
3015	790 740 100 176 421 3
3016	790 740 100 176 421 3
3017	790 740 100 176 421 3
3019	407 32 520 95 585 17 231
3020	407 32 520 95 585 17 231
3021	407 32 520 95 585 17 231
3022	740 100 233 3
3023	740 752 615 503
3024	740 752 615 503
3025	740 752 615 503
3026	740 752 615 503
